"Abs Int (Bck Sub, 2+)"	Charge	IgGIA1H3N3F1	IgGIA1H3N4	IgGIA1H3N4F1	IgGIA1H3N5F1	IgGIA1H3N6F3	IgGIA1H4N2	IgGIA1H4N3	IgGIA1H4N3F1	IgGIA1H4N3F2	IgGIA1H4N4	IgGIA1H4N4F1	IgGIA1H4N4F1S1	IgGIA1H4N4F2	IgGIA1H4N5F1	IgGIA1H4N5F1S1	IgGIA1H4N5F2S1	IgGIA1H5N3F1	IgGIA1H5N4	IgGIA1H5N4F1	IgGIA1H5N4F1S1	IgGIA1H5N4F1S2	IgGIA1H5N4F2	IgGIA1H5N4F2S1	IgGIA1H5N4F3	IgGIA1H5N5F1	IgGIA1H5N5F1S1	IgGIA1H5N5F2	IgGIA1H5N5F3	IgGIA1H6N3F1G1	IgGIA1H6N3F2	IgGIA1H6N5F1	IgGII1H3N3F1	IgGII1H3N4	IgGII1H3N4F1	IgGII1H3N5F1	IgGII1H3N6F3	IgGII1H4N2	IgGII1H4N3	IgGII1H4N3F1	IgGII1H4N3F2	IgGII1H4N4	IgGII1H4N4F1	IgGII1H4N4F1S1	IgGII1H4N4F2	IgGII1H4N5F1	IgGII1H4N5F1S1	IgGII1H4N5F2S1	IgGII1H5N3F1	IgGII1H5N4	IgGII1H5N4F1	IgGII1H5N4F1S1	IgGII1H5N4F1S2	IgGII1H5N4F2	IgGII1H5N4F2S1	IgGII1H5N4F3	IgGII1H5N5F1	IgGII1H5N5F1S1	IgGII1H5N5F2	IgGII1H5N5F3	IgGII1H6N3F1G1	IgGII1H6N3F2	IgGII1H6N5F1	IgGI1H3N3F1	IgGI1H3N4	IgGI1H3N4F1	IgGI1H3N5F1	IgGI1H3N6F3	IgGI1H4N2	IgGI1H4N3	IgGI1H4N3F1	IgGI1H4N3F2	IgGI1H4N4	IgGI1H4N4F1	IgGI1H4N4F1S1	IgGI1H4N4F2	IgGI1H4N5F1	IgGI1H4N5F1S1	IgGI1H4N5F2S1	IgGI1H5N3F1	IgGI1H5N4	IgGI1H5N4F1	IgGI1H5N4F1S1	IgGI1H5N4F1S2	IgGI1H5N4F2	IgGI1H5N4F2S1	IgGI1H5N4F3	IgGI1H5N5F1	IgGI1H5N5F1S1	IgGI1H5N5F2	IgGI1H5N5F3	IgGI1H6N3F1G1	IgGI1H6N3F2	IgGI1H6N5F1	IgGIILE1H3N3F1	IgGIILE1H3N4	IgGIILE1H3N4F1	IgGIILE1H3N5F1	IgGIILE1H3N6F3	IgGIILE1H4N2	IgGIILE1H4N3	IgGIILE1H4N3F1	IgGIILE1H4N3F2	IgGIILE1H4N4	IgGIILE1H4N4F1	IgGIILE1H4N4F1S1	IgGIILE1H4N4F2	IgGIILE1H4N5F1	IgGIILE1H4N5F1S1	IgGIILE1H4N5F2S1	IgGIILE1H5N3F1	IgGIILE1H5N4	IgGIILE1H5N4F1	IgGIILE1H5N4F1S1	IgGIILE1H5N4F1S2	IgGIILE1H5N4F2	IgGIILE1H5N4F2S1	IgGIILE1H5N4F3	IgGIILE1H5N5F1	IgGIILE1H5N5F1S1	IgGIILE1H5N5F2	IgGIILE1H5N5F3	IgGIILE1H6N3F1G1	IgGIILE1H6N3F2	IgGIILE1H6N5F1	IgGIF1H3N3F1	IgGIF1H3N4	IgGIF1H3N4F1	IgGIF1H3N5F1	IgGIF1H3N6F3	IgGIF1H4N2	IgGIF1H4N3	IgGIF1H4N3F1	IgGIF1H4N3F2	IgGIF1H4N4	IgGIF1H4N4F1	IgGIF1H4N4F1S1	IgGIF1H4N4F2	IgGIF1H4N5F1	IgGIF1H4N5F1S1	IgGIF1H4N5F2S1	IgGIF1H5N3F1	IgGIF1H5N4	IgGIF1H5N4F1	IgGIF1H5N4F1S1	IgGIF1H5N4F1S2	IgGIF1H5N4F2	IgGIF1H5N4F2S1	IgGIF1H5N4F3	IgGIF1H5N5F1	IgGIF1H5N5F1S1	IgGIF1H5N5F2	IgGIF1H5N5F3	IgGIF1H6N3F1G1	IgGIF1H6N3F2	IgGIF1H6N5F1
																																																																																																																																																												
Noise (2+)		IgGIA1H3N3F1	IgGIA1H3N4	IgGIA1H3N4F1	IgGIA1H3N5F1	IgGIA1H3N6F3	IgGIA1H4N2	IgGIA1H4N3	IgGIA1H4N3F1	IgGIA1H4N3F2	IgGIA1H4N4	IgGIA1H4N4F1	IgGIA1H4N4F1S1	IgGIA1H4N4F2	IgGIA1H4N5F1	IgGIA1H4N5F1S1	IgGIA1H4N5F2S1	IgGIA1H5N3F1	IgGIA1H5N4	IgGIA1H5N4F1	IgGIA1H5N4F1S1	IgGIA1H5N4F1S2	IgGIA1H5N4F2	IgGIA1H5N4F2S1	IgGIA1H5N4F3	IgGIA1H5N5F1	IgGIA1H5N5F1S1	IgGIA1H5N5F2	IgGIA1H5N5F3	IgGIA1H6N3F1G1	IgGIA1H6N3F2	IgGIA1H6N5F1	IgGII1H3N3F1	IgGII1H3N4	IgGII1H3N4F1	IgGII1H3N5F1	IgGII1H3N6F3	IgGII1H4N2	IgGII1H4N3	IgGII1H4N3F1	IgGII1H4N3F2	IgGII1H4N4	IgGII1H4N4F1	IgGII1H4N4F1S1	IgGII1H4N4F2	IgGII1H4N5F1	IgGII1H4N5F1S1	IgGII1H4N5F2S1	IgGII1H5N3F1	IgGII1H5N4	IgGII1H5N4F1	IgGII1H5N4F1S1	IgGII1H5N4F1S2	IgGII1H5N4F2	IgGII1H5N4F2S1	IgGII1H5N4F3	IgGII1H5N5F1	IgGII1H5N5F1S1	IgGII1H5N5F2	IgGII1H5N5F3	IgGII1H6N3F1G1	IgGII1H6N3F2	IgGII1H6N5F1	IgGI1H3N3F1	IgGI1H3N4	IgGI1H3N4F1	IgGI1H3N5F1	IgGI1H3N6F3	IgGI1H4N2	IgGI1H4N3	IgGI1H4N3F1	IgGI1H4N3F2	IgGI1H4N4	IgGI1H4N4F1	IgGI1H4N4F1S1	IgGI1H4N4F2	IgGI1H4N5F1	IgGI1H4N5F1S1	IgGI1H4N5F2S1	IgGI1H5N3F1	IgGI1H5N4	IgGI1H5N4F1	IgGI1H5N4F1S1	IgGI1H5N4F1S2	IgGI1H5N4F2	IgGI1H5N4F2S1	IgGI1H5N4F3	IgGI1H5N5F1	IgGI1H5N5F1S1	IgGI1H5N5F2	IgGI1H5N5F3	IgGI1H6N3F1G1	IgGI1H6N3F2	IgGI1H6N5F1	IgGIILE1H3N3F1	IgGIILE1H3N4	IgGIILE1H3N4F1	IgGIILE1H3N5F1	IgGIILE1H3N6F3	IgGIILE1H4N2	IgGIILE1H4N3	IgGIILE1H4N3F1	IgGIILE1H4N3F2	IgGIILE1H4N4	IgGIILE1H4N4F1	IgGIILE1H4N4F1S1	IgGIILE1H4N4F2	IgGIILE1H4N5F1	IgGIILE1H4N5F1S1	IgGIILE1H4N5F2S1	IgGIILE1H5N3F1	IgGIILE1H5N4	IgGIILE1H5N4F1	IgGIILE1H5N4F1S1	IgGIILE1H5N4F1S2	IgGIILE1H5N4F2	IgGIILE1H5N4F2S1	IgGIILE1H5N4F3	IgGIILE1H5N5F1	IgGIILE1H5N5F1S1	IgGIILE1H5N5F2	IgGIILE1H5N5F3	IgGIILE1H6N3F1G1	IgGIILE1H6N3F2	IgGIILE1H6N5F1	IgGIF1H3N3F1	IgGIF1H3N4	IgGIF1H3N4F1	IgGIF1H3N5F1	IgGIF1H3N6F3	IgGIF1H4N2	IgGIF1H4N3	IgGIF1H4N3F1	IgGIF1H4N3F2	IgGIF1H4N4	IgGIF1H4N4F1	IgGIF1H4N4F1S1	IgGIF1H4N4F2	IgGIF1H4N5F1	IgGIF1H4N5F1S1	IgGIF1H4N5F2S1	IgGIF1H5N3F1	IgGIF1H5N4	IgGIF1H5N4F1	IgGIF1H5N4F1S1	IgGIF1H5N4F1S2	IgGIF1H5N4F2	IgGIF1H5N4F2S1	IgGIF1H5N4F3	IgGIF1H5N5F1	IgGIF1H5N5F1S1	IgGIF1H5N5F2	IgGIF1H5N5F3	IgGIF1H6N3F1G1	IgGIF1H6N3F2	IgGIF1H6N5F1
Fraction		0.995176567	0.994734242	0.99328932	0.990935233	0.992827971	0.99656468	0.995067423	0.993688577	0.992059478	0.993155752	0.991434563	0.99495921	0.995916608	0.99557362	0.993374815	0.993689988	0.991912085	0.991280234	0.995850421	0.993759587	0.992825988	0.994774699	0.994017257	0.993628327	0.99436508	0.993587805	0.993150617	0.993497612	0.994046642	0.995087754	0.993062917	0.994441679	0.993948451	0.992345224	0.995977383	0.993786605	0.995999691	0.994321229	0.992788835	0.990990473	0.992199127	0.990303121	0.994147998	0.995224708	0.994837378	0.994196419	0.992923203	0.990829985	0.990135406	0.995152948	0.994505429	0.991981494	0.993939935	0.993282103	0.994424902	0.993480833	0.992812375	0.994014109	0.992712644	0.993105912	0.994294876	0.993914564	0.994199493	0.993693366	0.992051685	0.995848006	0.993581099	0.995802072	0.99407647	0.992506344	0.990668132	0.991902898	0.996114529	0.99398361	0.995080281	0.9946857	0.994000349	0.992700614	0.990504914	0.996051023	0.995006706	0.994316467	0.991741272	0.993772085	0.993067136	0.994233868	0.993305156	0.992587917	0.993814118	0.992485909	0.992929948	0.994132775	0.99371277	0.994756341	0.994285494	0.992752116	0.99026538	0.994086676	0.996239877	0.994640905	0.993176197	0.991452706	0.9926116	0.990793007	0.994524363	0.995545564	0.99517893	0.992827971	0.993255937	0.991298063	0.990631273	0.995476136	0.993237442	0.992348693	0.994327386	0.993600874	0.99309629	0.993891385	0.993148957	0.994304682	0.993053437	0.993544622	0.994662493	0.994208743	0.994321229	0.99382156	0.992199127	0.99591313	0.993684309	0.995901488	0.994199493	0.992648255	0.990829985	0.992051685	0.990135406	0.994066278	0.995152948	0.994762	0.994098832	0.992812375	0.990668132	0.996114529	0.995080281	0.994411389	0.99186186	0.993856488	0.99317508	0.994329828	0.993393479	0.992700614	0.993914564	0.992599746	0.99301837	0.994214297	0.993814118
Monoisotopic Mass		[1169.97377477]	[1198.48450663]	[1271.51346103]	[1373.05314729]	[1620.65074235]	[1076.43154582]	[1177.97123208]	[1251.00018648]	[1324.02914088]	[1279.51091834]	[1352.53987274]	[1498.087581]	[1425.56882714]	[1454.079559]	[1599.62726726]	[1672.65622165]	[1332.02659819]	[1360.53733005]	[1433.56628445]	[1579.1139927]	[1724.66170096]	[1506.59523885]	[1652.1429471]	[1579.62419325]	[1535.10597071]	[1680.65367896]	[1608.13492511]	[1681.16387951]	[1566.59817546]	[1486.0819643]	[1616.13238242]	[1199.99197554]	[1228.5027074]	[1301.5316618]	[1403.07134806]	[1650.66894312]	[1106.44974659]	[1207.98943285]	[1281.01838725]	[1354.04734165]	[1309.52911911]	[1382.55807351]	[1528.10578176]	[1455.58702791]	[1484.09775977]	[1629.64546802]	[1702.67442242]	[1362.04479896]	[1390.55553082]	[1463.58448522]	[1609.13219347]	[1754.67990172]	[1536.61343962]	[1682.16114787]	[1609.64239401]	[1565.12417148]	[1710.67187973]	[1638.15312587]	[1711.18208027]	[1596.61637623]	[1516.10016506]	[1646.15058318]	[1215.98689016]	[1244.49762202]	[1317.52657642]	[1419.06626268]	[1666.66385774]	[1122.44466121]	[1223.98434747]	[1297.01330187]	[1370.04225627]	[1325.52403373]	[1398.55298813]	[1544.10069638]	[1471.58194253]	[1500.09267439]	[1645.64038264]	[1718.66933704]	[1378.03971358]	[1406.55044544]	[1479.57939984]	[1625.12710809]	[1770.67481634]	[1552.60835423]	[1698.15606249]	[1625.63730863]	[1581.1190861]	[1726.66679435]	[1654.14804049]	[1727.17699489]	[1612.61129085]	[1532.09507968]	[1662.1454978]	[1190.99727977]	[1219.50801163]	[1292.53696603]	[1394.07665229]	[1641.67424735]	[1097.45505082]	[1198.99473708]	[1272.02369148]	[1345.05264588]	[1300.53442334]	[1373.56337774]	[1519.111086]	[1446.59233214]	[1475.103064]	[1620.65077226]	[1693.67972665]	[1353.05010319]	[1381.56083505]	[1454.58978945]	[1600.1374977]	[1745.68520596]	[1527.61874385]	[1673.1664521]	[1600.64769825]	[1556.12947571]	[1701.67718396]	[1629.15843011]	[1702.18738451]	[1587.62168046]	[1507.1054693]	[1637.15588742]	[1207.98943285]	[1236.50016471]	[1309.52911911]	[1411.06880537]	[1658.66640043]	[1114.4472039]	[1215.98689016]	[1289.01584456]	[1362.04479896]	[1317.52657642]	[1390.55553082]	[1536.10323907]	[1463.58448522]	[1492.09521708]	[1637.64292533]	[1710.67187973]	[1370.04225627]	[1398.55298813]	[1471.58194253]	[1617.12965078]	[1762.67735903]	[1544.61089692]	[1690.15860518]	[1617.63985132]	[1573.12162879]	[1718.66933704]	[1646.15058318]	[1719.17953758]	[1604.61383354]	[1524.09762237]	[1654.14804049]
"alignedLin_id_01_2-E,1_01_55390.raw"		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	656428.7486	166321.731	443477.0369	326510.5815	149378.2431	214745.4357	120661.7633	227239.5418	333455.0834	278511.1935	297538.3593	193162.8606	234881.9835	223760.3661	158450.346	161877.0976	190784.2286	158603.0081	217017.917	169894.0981	129586.2346	193326.837	147613.0843	167017.3415	175002.3398	133350.2373	160168.9605	131549.9682	187386.7532	198741.5135	158366.4419	492290.6515	277998.3518	885899.1484	1161030.476	185532.4688	389670.9568	197210.5608	304170.5001	408920.8333	300915.7138	1325934.55	413874.2751	742796.8197	594493.6493	198735.857	177202.502	392227.8096	858987.5221	602636.1208	237304.602	170975.3962	364372.1633	169934.3371	236809.9153	237589.5901	180844.3565	183704.7852	170345.8656	205083.4159	311898.0477	215644.4242	279697.6521	226789.8103	376452.6362	522718.0566	168460.816	235917.0142	454856.8138	647391.2898	904139.7023	337554.4646	412922.6848	542944.5556	536869.4508	383714.844	186341.9263	162203.2565	466475.2764	342862.6667	350278.2813	201434.8924	146656.8147	369526.1299	163139.1073	200360.1509	263835.0908	156121.0567	195514.4399	158438.6311	229242.785	361469.7454	187351.7626	141763.9596	218678.6044	541991.305	488245.2132	156192.3986	337331.1482	428556.8594	622759.7724	460784.4797	348574.9302	420159.6725	343587.0524	360100.5085	366648.7576	177228.5103	142817.4865	392969.8376	633891.4002	513562.4552	185026.6087	133074.8369	273817.3218	136093.6063	192156.4909	218863.832	139160.7795	176598.2341	139725.3092	218627.9102	304440.832	169292.4121
"alignedLin_id_02_2-B,3_01_55429.raw"		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	839297.0526	212929.9899	670094.1558	755899.2633	173272.283	320128.397	165725.3219	261752.8908	338202.798	349531.4114	362448.4556	252906.4262	404367.4161	300701.7414	212072.1676	173107.8778	246286.7894	301537.2076	286201.3589	215234.141	164164.5146	265926.0418	198516.1708	207953.7766	228414.0968	172845.0456	194930.6972	170115.6472	203563.0533	302497.1104	195686.105	471091.7888	211496.3549	794081.8238	1018523.921	164284.4975	408592.8742	159081.5091	271790.3916	283687.157	263757.42	1165766.077	315227.9716	522798.0785	619506.7719	193049.0774	186840.8182	341116.8546	620292.1845	530343.2177	256900.5525	171423.0677	383717.8675	166020.1901	255575.939	208977.8123	168235.9084	184423.4727	161832.2892	181771.48	215558.1493	190476.6341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133435.5737	281166.966	643059.5885	522520.7706	171571.9204	265554.9435	319006.0376	202862.8589	375931.7051	337578.2433	365638.4128	310699.2857	354710.2143	389947.4178	224637.7559	153698.0872	233702.0108	586253.4996	481485.7383	184972.4477	142186.6996	282528.5666	153878.0522	201308.8487	222225.5564	144784.0349	173487.9963	146210.2389	210538.537	241121.1515	161814.3742
"alignedLin_id_03_2-D,4_01_55459.raw"		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	754054.853	146165.3401	225360.5847	245556.5206	250166.6987	408307.2823	172792.0638	147806.8022	352574.8709	165934.0128	326473.016	275387.2592	238310.5773	289699.3875	264159.3974	239933.5473	251844.914	287282.7382	275649.5864	263661.3885	220032.1332	268527.1983	260728.7312	260128.6515	250229.9989	234811.6573	255251.2784	237800.3723	279336.9675	356466.3717	243950.3261	669236.0477	283360.4296	923174.1551	1263520.335	231823.2562	415642.2188	157920.5306	493096.5284	485156.94	381110.1759	1481905.202	390733.7049	718776.9238	646701.8499	211421.3212	223249.8475	484509.3069	630929.7901	647920.359	246874.7973	211690.7205	413323.2569	197537.924	238375.293	250559.5619	233352.8806	206960.8834	234655.0675	236507.4434	311214.3085	230095.5666	304201.8807	200707.6471	601429.6092	513938.0232	186440.3647	369050.5752	739363.2989	617980.308	572159.1932	656127.9723	462617.8736	657420.1074	440790.7868	376811.0077	210273.7672	189849.7854	788880.6081	470942.699	478074.778	226533.9094	181305.3127	231601.3143	189140.2034	226533.9094	261453.0288	179984.0217	194944.6798	172162.5482	238849.607	302292.9731	211862.6688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"alignedLin_id_04_2-F,3_01_55441.raw"		404909.499	608698.8492	884953.6201	442984.3129	196393.9082	360278.6469	285652.4629	445061.3211	611832.6398	437010.7764	679620.3888	519080.9331	588354.9217	431860.0006	215488.4299	208106.4914	429684.2291	478957.4675	587537.5983	282957.9574	189259.0503	363384.9452	202964.3172	253126.2562	290714.0881	208997.3315	191872.6584	215245.6566	271970.2168	395510.0978	209868.5276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261364.1223	244544.9792	1008042.966	442352.538	173995.1165	451089.4263	950045.7271	459810.1558	340186.0299	348730.9972	449084.994	318628.3635	322650.3325	406596.7409	193928.4827	182559.258	393410.5426	841511.3412	475512.8698	196904.0051	191777.5541	268029.2919	177320.6951	202645.6947	204087.6686	177971.9085	164236.8233	189776.8831	189927.268	291540.1224	184393.2664
"alignedLin_id_06_2-H,3_01_55447.raw"		464567.4537	646517.9674	833469.745	440552.5992	207690.6872	436204.0029	281925.3234	692829.3079	578596.422	417865.8955	608194.4635	495118.5688	581211.5615	471468.8246	216978.5664	218953.6626	385608.0833	471005.6606	544762.4318	285147.0841	227219.2419	374948.247	177812.2386	231961.7911	259477.893	199659.8976	210991.1992	198501.5827	269732.6403	387501.916	239626.3288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	314227.3208	269480.64	953266.1237	480505.9602	186487.4616	488152.0006	987120.9814	556014.5464	314278.7019	335291.9078	475953.0046	271462.9711	346313.9191	452408.1104	186840.411	155720.8769	361346.975	807315.1454	495778.0819	194535.3426	159888.0988	227264.5934	167185.8509	198368.863	218340.4784	155547.0699	189214.895	163105.116	211812.6972	291781.8073	181705.2563
"alignedLin_id_08_2-A,2_01_55402.raw"		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	699913.2953	169210.5795	232305.0305	395983.3808	158471.2547	279644.3524	215630.8018	197230.3201	305185.3792	505436.8221	454471.8155	242120.2124	263373.5353	214581.4526	170167.4113	153264.7644	210219.7689	229464.4883	262893.4404	193983.2746	137377.0213	206915.2492	150383.9996	193192.934	201240.5132	146246.6367	162508.3302	148311.9817	163959.2914	309561.4352	163133.0529	389880.1613	217975.4074	195510.8991	412682.7486	122683.1335	154909.2685	75265.04346	276413.2384	204569.985	198124.6525	559111.0789	252618.7293	328738.9257	290784.1029	140172.8856	114829.5509	258316.1106	298411.0798	234848.5772	143498.9546	106860.7791	217908.7058	119145.3321	143105.9232	168212.733	117736.0073	119829.7429	116244.5657	146715.6199	248747.4065	134954.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	426159.329	397462.4366	1148120.424	817868.8293	171895.2509	316620.4794	281307.2424	755474.6965	412181.9467	299714.6994	1005728.444	390246.9926	567303.1713	471456.4798	187542.4791	169727.9647	492341.3484	685194.7436	538553.0696	279347.0641	158336.762	324324.1832	184005.3892	290668.8113	225846.3041	158514.0388	173521.8859	162078.7444	200918.2416	291521.8069	175442.1138
"alignedLin_id_09_2-A,3_01_55426.raw"		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222561.2332	149672.8794	81833.10105	176589.4165	213002.3024	287888.805	206082.6345	117595.9812	172128.3864	123416.1883	71273.58953	317444.2237	240407.2962	235196.3138	216679.3567	208896.0782	147175.8188	208754.4152	232509.6453	221859.4097	196988.1079	267478.5582	216873.1414	222635.4341	234329.1962	205804.3771	231966.29	207071.318	229276.6159	221250.3841	218159.8066	531845.9772	265541.8517	297678.5918	554730.5105	147659.8735	267802.8085	84133.02077	368753.1902	284823.1379	195301.4977	892965.4402	264111.8331	410018.7306	427514.4562	154838.5034	144955.3937	293828.9511	324120.4362	289805.6143	179515.0737	127707.2927	289513.49	139706.9138	180054.7848	195888.9278	146721.7385	161627.5574	146721.7385	194543.6906	290952.3653	159066.8332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	554226.3877	433557.0408	1272315.864	1047229.996	208317.6696	519174.0298	329577.1166	766782.668	400768.2419	407748.9589	1081565.244	348848.3122	573299.9068	506755.3174	215046.8636	188437.5274	657897.8347	773349.6293	616876.9341	262317.7451	195881.8378	374993.6494	187496.9576	263182.1682	259177.1566	198617.6939	210802.818	191372.2925	223503.7918	287258.4959	197689.1115
"alignedLin_id_10_2-G,1_01_55396.raw"		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	527324.8288	160678.1294	162476.7285	188263.4946	222429.1741	358751.9087	225548.2897	125173.2147	234952.8949	328924.666	242948.9878	207223.549	296697.6192	259897.5198	220582.6855	210077.0975	242354.1836	190610.1071	270397.0683	206354.651	178282.3341	207037.274	201068.5399	204604.9096	242665.0835	195132.2826	218534.5241	198519.3188	195455.1215	207789.437	212117.4247	450981.8339	246191.1995	834898.1091	1906484.307	231244.5282	267649.778	134332.9464	462124.2882	559096.3972	246794.1727	971454.5725	335370.0442	509663.5118	933063.1944	264579.641	231790.7849	654398.1074	371065.2795	329212.0217	241045.3413	206221.9359	311848.4796	216949.6485	242977.1825	315302.2	199367.4419	263277.0459	205122.5388	262175.2608	751192.2799	231244.5282	2781330.824	390317.8651	3772872.912	1146074.106	246804.0495	378110.3061	1600658.354	1248320.78	933854.6618	931243.9615	2543957.523	705006.4269	1125750.85	482754.6209	238963.9447	217681.9801	1056647.349	895590.5231	1493950.303	355271.4448	215306.6659	503861.7598	249878.0221	347822.8727	263834.176	242553.2036	220761.3327	237582.4916	238156.1248	475149.549	243590.5216	701927.0112	382768.6178	1214087.79	1701041.596	234509.287	4952915.004	1051526.929	2308170.638	910676.9319	1395432.852	1533138.185	474564.2875	610388.3805	686757.1171	281318.3888	241214.3258	1910246.446	1393726.797	840691.9118	287813.0579	230535.9581	338085.6697	232687.8825	290249.5637	305066.5873	248479.7427	281730.7633	251584.4025	295952.9359	445733.7213	234998.8345
"alignedLin_id_11_2-C,1_01_55384.raw"		204057.7756	314135.3892	341940.833	278945.3143	211820.8097	246094.4944	328953.1138	258011.6397	263064.7732	219896.3792	342222.1487	393190.3961	351954.9266	363108.0757	239090.5108	195763.8052	194344.2728	278413.5921	322898.1124	262460.7652	184307.4737	338820.8183	181659.9989	266869.2076	297459.063	181771.9954	237671.2867	189903.5562	284327.4365	357512.5081	231888.369	366698.0138	352511.9705	283199.53	269811.7975	208341.4662	480995.8965	239149.9377	280942.3015	231658.4405	350106.0458	274557.0912	232900.7282	249205.0278	258495.2351	205292.342	203994.2525	260221.621	292361.3696	244113.1283	199991.0954	184605.0145	249363.7631	190334.6219	208467.1791	238883.3842	186837.3759	213802.8991	194094.3885	229057.6907	267747.8902	210312.9185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1117980.029	383403.5931	1380910.171	1366628.144	253317.0833	505714.5825	747506.7728	1052699.013	759129.3182	935403.892	1583487.244	490654.1099	1106638.37	530132.1453	280364.7068	229649.8952	913300.2638	802354.9253	882568.9798	327968.2025	206610.953	467119.421	236190.671	332356.0554	281414.6768	241355.2227	241137.5012	240040.8846	252886.7523	505952.3719	254728.7945	543255.9646	300683.7288	788420.7032	1639125.544	252670.8721	5000118.568	898405.021	830932.0322	1031503.645	1281409.687	614032.1672	429732.1683	666220.6721	652416.7923	239632.7625	224769.8297	830945.5925	1549750.605	610628.161	312601.7745	210138.3192	394305.4201	242651.9992	296678.5319	347634.8745	246179.1173	284576.2783	243193.2998	261749.4898	535051.2922	255114.8099
"alignedLin_id_13_2-G,2_01_55420.raw"		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	302003.3867	109711.6809	145930.2201	213390.3937	234656.7953	392170.1998	304519.8032	159089.1663	143842.555	128300.4066	167624.0906	272558.8773	241346.2486	212902.6749	233586.3189	210988.2849	183273.6825	176333.6522	227618.7424	213646.5298	195957.513	260107.6304	230942.3882	210081.5938	229310.5117	209858.0852	243717.3636	209457.8184	226105.9733	214399.2641	234656.7953	562469.2287	230711.9457	794941.1271	1146235.166	196021.6804	518368.7797	123756.5146	371038.7734	340458.3972	297509.0905	1419132.103	408322.4594	622879.7633	696955.2985	202984.6241	208648.1661	380584.1607	768206.5659	625226.2008	237651.0095	186686.9189	420198.3368	185015.2013	251030.3154	249131.0634	205973.2723	203872.2046	203283.199	216782.0684	284773.3993	202506.9865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217022.903	259632.2416	838194.0619	504879.1566	170460.7328	344999.2706	631003.9168	282222.0437	440573.3886	305955.2435	515435.5207	391894.1457	381053.1754	499878.2996	203590.6565	174335.0114	287276.3751	921110.6859	572396.6755	194726.8488	171253.9747	306055.8044	175154.5412	199611.0205	229214.4887	161833.5873	182120.8809	162836.0853	240305.9425	299106.4049	189950.8513
